order_id,customer_id,product_id,quantity,unit_price,order_date,item_total,order_total
O00001,C229,P32,1,24.99,2024-12-01 19:18:44,24.99,240.97
O00001,C229,P13,1,114.99,2024-12-01 19:18:44,114.99,240.97
O00001,C229,P08,1,100.99,2024-12-01 19:18:44,100.99,240.97
O00002,C366,P21,1,196.99,2025-10-27 02:51:43,196.99,1057.94
O00002,C366,P43,1,138.99,2025-10-27 02:51:43,138.99,1057.94
O00002,C366,P23,2,205.99,2025-10-27 02:51:43,411.98,1057.94
O00002,C366,P46,2,154.99,2025-10-27 02:51:43,309.98,1057.94
O00003,C365,P33,1,74.99,2026-01-14 22:40:11,74.99,93.98
O00003,C365,P15,1,18.99,2026-01-14 22:40:11,18.99,93.98
O00004,C072,P24,1,299.99,2024-12-09 15:01:23,299.99,536.98
O00004,C072,P30,1,236.99,2024-12-09 15:01:23,236.99,536.98
O00005,C314,P47,1,41.99,2026-05-04 02:19:25,41.99,832.94
O00005,C314,P31,1,16.99,2026-05-04 02:19:25,16.99,832.94
O00005,C314,P34,1,53.99,2026-05-04 02:19:25,53.99,832.94
O00005,C314,P27,3,239.99,2026-05-03 20:49:25,719.97,832.94
O00006,C329,P50,1,191.99,2026-01-26 14:43:33,191.99,191.99
O00007,C301,P04,1,281.99,2025-07-17 04:27:32,281.99,436.97
O00007,C301,P08,1,100.99,2025-07-17 04:27:32,100.99,436.97
O00007,C301,P34,1,53.99,2025-07-17 04:27:32,53.99,436.97
O00008,C364,P17,2,22.99,2025-11-30 16:57:18,45.98,360.96
O00008,C364,P13,1,114.99,2025-11-30 16:57:18,114.99,360.96
O00008,C364,P41,1,199.99,2025-11-30 16:57:18,199.99,360.96
O00009,C315,P38,1,38.99,2025-08-26 16:41:10,38.99,131.98
O00009,C315,P10,1,92.99,2025-08-26 16:41:10,92.99,131.98
O00010,C462,P06,1,402.99,2025-12-15 18:02:52,402.99,667.97
O00010,C462,P03,1,205.99,2025-12-15 18:02:52,205.99,667.97
O00010,C462,P42,1,58.99,2025-12-15 18:02:52,58.99,667.97
O00011,C293,P35,2,57.99,2025-04-20 20:01:31,115.98,288.96
O00011,C293,P19,1,113.99,2025-04-20 20:01:31,113.99,288.96
O00011,C293,P42,1,58.99,2025-04-20 20:01:31,58.99,288.96
O00012,C351,P29,1,199.99,2025-08-30 14:04:44,199.99,199.99
O00013,C238,P21,3,196.99,2024-11-27 19:09:20,590.97,838.95
O00013,C238,P47,1,41.99,2024-11-27 19:09:20,41.99,838.95
O00013,C238,P23,1,205.99,2024-11-27 19:09:20,205.99,838.95
O00014,C288,P16,1,30.99,2024-10-10 07:29:07,30.99,30.99
O00015,C026,P11,1,91.99,2024-12-29 12:55:39,91.99,91.99
O00016,C479,P33,1,74.99,2025-11-28 10:12:48,74.99,74.99
O00017,C451,P16,1,30.99,2026-01-27 00:05:25,30.99,101.98
O00017,C451,P14,1,70.99,2026-01-27 00:05:25,70.99,101.98
O00018,C145,P01,1,345.99,2025-06-30 20:43:30,345.99,345.99
O00019,C221,P24,1,299.99,2024-11-02 08:46:23,299.99,505.98
O00019,C221,P03,1,205.99,2024-11-02 08:46:23,205.99,505.98
O00020,C100,P49,1,77.99,2025-03-01 09:04:24,77.99,221.96
O00020,C100,P36,3,47.99,2025-03-01 09:04:24,143.97,221.96
O00021,C349,P22,1,194.99,2025-11-28 04:06:25,194.99,194.99
O00022,C188,P03,1,205.99,2025-12-16 06:38:32,205.99,205.99
O00023,C071,P33,1,74.99,2025-12-01 15:33:29,74.99,74.99
O00024,C477,P20,1,96.99,2026-02-06 05:25:39,96.99,135.98
O00024,C477,P38,1,38.99,2026-02-06 05:25:39,38.99,135.98
O00025,C273,P24,1,299.99,2025-06-26 18:19:30,299.99,638.97
O00025,C273,P22,1,194.99,2025-06-26 18:19:30,194.99,638.97
O00025,C273,P44,1,143.99,2025-06-26 18:19:30,143.99,638.97
O00026,C461,P17,1,22.99,2025-12-11 22:40:01,22.99,81.98
O00026,C461,P42,1,58.99,2025-12-11 17:10:01,58.99,81.98
O00027,C296,P41,1,199.99,2024-12-06 01:37:30,199.99,199.99
O00028,C397,P37,2,42.99,2026-06-19 04:52:43,85.98,85.98
O00029,C057,P45,1,110.99,2024-11-23 14:20:26,110.99,110.99
O00030,C257,P04,1,281.99,2025-12-23 15:55:54,281.99,436.98
O00030,C257,P46,1,154.99,2025-12-23 15:55:54,154.99,436.98
O00031,C167,P12,1,100.99,2026-07-04 15:33:24,100.99,100.99
O00032,C273,P44,1,143.99,2025-02-10 11:43:49,143.99,424.96
O00032,C273,P42,1,58.99,2025-02-10 11:43:49,58.99,424.96
O00032,C273,P45,2,110.99,2025-02-10 11:43:49,221.98,424.96
O00033,C143,P14,1,70.99,2025-08-27 07:19:49,70.99,70.99
O00034,C251,P47,1,41.99,2025-01-19 11:35:59,41.99,200.97
O00034,C251,P18,1,44.99,2025-01-19 11:35:59,44.99,200.97
O00034,C251,P19,1,113.99,2025-01-19 11:35:59,113.99,200.97
O00035,C203,P46,1,154.99,2026-01-21 04:18:02,154.99,154.99
O00036,C474,P35,1,57.99,2025-02-09 08:47:30,57.99,57.99
O00037,C288,P16,1,30.99,2025-11-24 04:06:39,30.99,312.98
O00037,C288,P04,1,281.99,2025-11-24 04:06:39,281.99,312.98
O00038,C327,P07,1,366.99,2024-12-31 03:26:21,366.99,510.98
O00038,C327,P44,1,143.99,2024-12-31 03:26:21,143.99,510.98
O00039,C282,P31,1,16.99,2026-06-15 05:26:41,16.99,190.97
O00039,C282,P42,1,58.99,2026-06-15 05:26:41,58.99,190.97
O00039,C282,P13,1,114.99,2026-06-15 05:26:41,114.99,190.97
O00040,C031,P48,1,78.99,2026-04-12 02:41:36,78.99,78.99
O00041,C480,P03,1,205.99,2025-12-20 05:26:56,205.99,343.96
O00041,C480,P26,1,87.99,2025-12-20 05:26:56,87.99,343.96
O00041,C480,P32,2,24.99,2025-12-20 05:26:56,49.98,343.96
O00042,C149,P22,1,194.99,2026-03-15 00:19:36,194.99,308.98
O00042,C149,P19,1,113.99,2026-03-15 00:19:36,113.99,308.98
O00043,C269,P13,1,114.99,2025-06-29 04:54:32,114.99,114.99
O00044,C170,P01,1,345.99,2024-11-12 14:41:16,345.99,424.98
O00044,C170,P48,1,78.99,2024-11-12 14:41:16,78.99,424.98
O00045,C346,P26,1,87.99,2026-05-29 05:39:54,87.99,286.98
O00045,C346,P28,1,198.99,2026-05-29 00:09:54,198.99,286.98
O00046,C343,P01,1,345.99,2025-05-10 04:30:20,345.99,420.96
O00046,C343,P17,1,22.99,2025-05-10 04:30:20,22.99,420.96
O00046,C343,P25,2,25.99,2025-05-10 04:30:20,51.98,420.96
O00047,C155,P45,1,110.99,2025-09-19 18:00:16,110.99,141.98
O00047,C155,P16,1,30.99,2025-09-19 18:00:16,30.99,141.98
O00048,C158,P46,1,154.99,2024-11-11 21:32:59,154.99,540.96
O00048,C158,P50,1,191.99,2024-11-11 21:32:59,191.99,540.96
O00048,C158,P20,2,96.99,2024-11-11 21:32:59,193.98,540.96
O00049,C189,P48,3,78.99,2025-10-18 07:08:30,236.97,236.97
O00050,C192,P43,1,138.99,2025-04-19 17:58:30,138.99,209.98
O00050,C192,P14,1,70.99,2025-04-19 17:58:30,70.99,209.98
O00051,C306,P24,2,299.99,2026-04-19 02:33:28,599.98,1029.97
O00051,C306,P05,1,429.99,2026-04-19 02:33:28,429.99,1029.97
O00052,C425,P11,2,91.99,2025-11-22 16:12:36,183.98,380.97
O00052,C425,P21,1,196.99,2025-11-22 16:12:36,196.99,380.97
O00053,C349,P29,1,199.99,2025-03-30 18:31:05,199.99,718.97
O00053,C349,P04,1,281.99,2025-03-30 18:31:05,281.99,718.97
O00053,C349,P30,1,236.99,2025-03-30 18:31:05,236.99,718.97
O00054,C287,P01,1,345.99,2025-06-01 09:46:01,345.99,345.99
O00055,C297,P04,2,281.99,2024-09-09 13:22:44,563.98,563.98
O00056,C036,P50,1,191.99,2026-06-23 15:02:18,191.99,191.99
O00057,C329,P25,2,25.99,2026-07-02 20:26:23,51.98,1142.93
O00057,C329,P29,2,199.99,2026-07-02 20:26:23,399.98,1142.93
O00057,C329,P06,1,402.99,2026-07-02 20:26:23,402.99,1142.93
O00057,C329,P44,2,143.99,2026-07-02 20:26:23,287.98,1142.93
O00058,C061,P15,1,18.99,2024-11-18 17:25:33,18.99,18.99
O00059,C388,P28,1,198.99,2026-02-22 09:29:43,198.99,256.98
O00059,C388,P35,1,57.99,2026-02-22 09:29:43,57.99,256.98
O00060,C236,P49,1,77.99,2025-02-15 08:12:59,77.99,384.97
O00060,C236,P08,1,100.99,2025-02-15 08:12:59,100.99,384.97
O00060,C236,P03,1,205.99,2025-02-15 02:42:59,205.99,384.97
O00061,C453,P03,1,205.99,2026-05-14 07:13:04,205.99,205.99
O00062,C345,P29,1,199.99,2026-02-19 01:15:47,199.99,199.99
O00063,C112,P15,1,18.99,2025-12-16 01:08:32,18.99,300.96
O00063,C112,P47,1,41.99,2025-12-16 01:08:32,41.99,300.96
O00063,C112,P37,1,42.99,2025-12-16 01:08:32,42.99,300.96
O00063,C112,P21,1,196.99,2025-12-16 01:08:32,196.99,300.96
O00064,C449,P18,1,44.99,2024-12-05 21:33:14,44.99,44.99
O00065,C486,P28,1,198.99,2026-02-10 23:58:11,198.99,342.96
O00065,C486,P36,3,47.99,2026-02-10 23:58:11,143.97,342.96
O00066,C483,P27,1,239.99,2026-05-10 12:50:33,239.99,239.99
